"","x"
"874","ENSMUSG00000089890"
"875","ENSMUSG00000025359"
"876","ENSMUSG00000005553"
"877","ENSMUSG00000041073"
"878","ENSMUSG00000032323"
"879","ENSMUSG00000087113"
"880","ENSMUSG00000032724"
"881","ENSMUSG00000060314"
"882","ENSMUSG00000078117"
"883","ENSMUSG00000031616"
"884","ENSMUSG00000049608"
"885","ENSMUSG00000083827"
"886","ENSMUSG00000034467"
"887","ENSMUSG00000045928"
"888","ENSMUSG00000031258"
"889","ENSMUSG00000104316"
"890","ENSMUSG00000091462"
"891","ENSMUSG00000070424"
"892","ENSMUSG00000030223"
"893","ENSMUSG00000098609"
"894","ENSMUSG00000002500"
"895","ENSMUSG00000090078"
"896","ENSMUSG00000048012"
"897","ENSMUSG00000092371"
"898","ENSMUSG00000056486"
"899","ENSMUSG00000045502"
"900","ENSMUSG00000004730"
"901","ENSMUSG00000102252"
"902","ENSMUSG00000014453"
"903","ENSMUSG00000084737"
"904","ENSMUSG00000073490"
"905","ENSMUSG00000027505"
"906","ENSMUSG00000028655"
"907","ENSMUSG00000047197"
"908","ENSMUSG00000100281"
"909","ENSMUSG00000098098"
"910","ENSMUSG00000022150"
"911","ENSMUSG00000023019"
"912","ENSMUSG00000038587"
"913","ENSMUSG00000037014"
"914","ENSMUSG00000024186"
"915","ENSMUSG00000026494"
"916","ENSMUSG00000029517"
"917","ENSMUSG00000087691"
"918","ENSMUSG00000077454"
"919","ENSMUSG00000097055"
"920","ENSMUSG00000090698"
"921","ENSMUSG00000028871"
"922","ENSMUSG00000022659"
"923","ENSMUSG00000079177"
"924","ENSMUSG00000026837"
"925","ENSMUSG00000086360"
"926","ENSMUSG00000086537"
"927","ENSMUSG00000032036"
"928","ENSMUSG00000086741"
"929","ENSMUSG00000098166"
"930","ENSMUSG00000099153"
"931","ENSMUSG00000070390"
"932","ENSMUSG00000044678"
"933","ENSMUSG00000044827"
"934","ENSMUSG00000045838"
"935","ENSMUSG00000000031"
"936","ENSMUSG00000099354"
"937","ENSMUSG00000064994"
"938","ENSMUSG00000088900"
"939","ENSMUSG00000028362"
"940","ENSMUSG00000022178"
"941","ENSMUSG00000102579"
"942","ENSMUSG00000033152"
"943","ENSMUSG00000059742"
"944","ENSMUSG00000031596"
"945","ENSMUSG00000040631"
"946","ENSMUSG00000085721"
"947","ENSMUSG00000029641"
"948","ENSMUSG00000024295"
"949","ENSMUSG00000083645"
"950","ENSMUSG00000089188"
"951","ENSMUSG00000044033"
"952","ENSMUSG00000022015"
"953","ENSMUSG00000097842"
"954","ENSMUSG00000034872"
"955","ENSMUSG00000086449"
"956","ENSMUSG00000055015"
"957","ENSMUSG00000082848"
"958","ENSMUSG00000023926"
"959","ENSMUSG00000025141"
"960","ENSMUSG00000089707"
"961","ENSMUSG00000021590"
"962","ENSMUSG00000104212"
"963","ENSMUSG00000098889"
"964","ENSMUSG00000043832"
"965","ENSMUSG00000091055"
"966","ENSMUSG00000013928"
"967","ENSMUSG00000024227"
"968","ENSMUSG00000084806"
"969","ENSMUSG00000022494"
"970","ENSMUSG00000099422"
"971","ENSMUSG00000100465"
"972","ENSMUSG00000051716"
"973","ENSMUSG00000044703"
"974","ENSMUSG00000048376"
"975","ENSMUSG00000042116"
"976","ENSMUSG00000051504"
"977","ENSMUSG00000098488"
"978","ENSMUSG00000047671"
"979","ENSMUSG00000087326"
"980","ENSMUSG00000027488"
"981","ENSMUSG00000038057"
"982","ENSMUSG00000025743"
"983","ENSMUSG00000086804"
"984","ENSMUSG00000103772"
"985","ENSMUSG00000104114"
"986","ENSMUSG00000087922"
"987","ENSMUSG00000101964"
"988","ENSMUSG00000029093"
"989","ENSMUSG00000024039"
"990","ENSMUSG00000086839"
"991","ENSMUSG00000055480"
"992","ENSMUSG00000095334"
"993","ENSMUSG00000035983"
"994","ENSMUSG00000089501"
"995","ENSMUSG00000086464"
"996","ENSMUSG00000041378"
"997","ENSMUSG00000088984"
"998","ENSMUSG00000078444"
"999","ENSMUSG00000086953"
"1000","ENSMUSG00000097350"
"1001","ENSMUSG00000026630"
"1002","ENSMUSG00000026347"
"1003","ENSMUSG00000055069"
"1004","ENSMUSG00000047643"
"1005","ENSMUSG00000031202"
"1006","ENSMUSG00000100714"
"1007","ENSMUSG00000085526"
"1008","ENSMUSG00000030935"
"1009","ENSMUSG00000085238"
"1010","ENSMUSG00000099337"
"1011","ENSMUSG00000046834"
"1012","ENSMUSG00000038007"
"1013","ENSMUSG00000100150"
"1014","ENSMUSG00000090861"
"1015","ENSMUSG00000022235"
"1016","ENSMUSG00000102850"
"1017","ENSMUSG00000034968"
"1018","ENSMUSG00000055150"
"1019","ENSMUSG00000030789"
"1020","ENSMUSG00000090358"
"1021","ENSMUSG00000083674"
"1022","ENSMUSG00000034282"
"1023","ENSMUSG00000093157"
"1024","ENSMUSG00000086001"
"1025","ENSMUSG00000086894"
"1026","ENSMUSG00000103972"
"1027","ENSMUSG00000055523"
"1028","ENSMUSG00000068587"
"1029","ENSMUSG00000084843"
"1030","ENSMUSG00000103101"
"1031","ENSMUSG00000093081"
"1032","ENSMUSG00000097429"
"1033","ENSMUSG00000090200"
"1034","ENSMUSG00000066196"
"1035","ENSMUSG00000092103"
"1036","ENSMUSG00000074228"
"1037","ENSMUSG00000036067"
"1038","ENSMUSG00000030170"
"1039","ENSMUSG00000096074"
"1040","ENSMUSG00000101905"
"1041","ENSMUSG00000031323"
"1042","ENSMUSG00000001943"
"1043","ENSMUSG00000018339"
"1044","ENSMUSG00000020461"
"1045","ENSMUSG00000103525"
"1046","ENSMUSG00000068011"
"1047","ENSMUSG00000047293"
"1048","ENSMUSG00000045942"
"1049","ENSMUSG00000031312"
"1050","ENSMUSG00000102147"
"1051","ENSMUSG00000083157"
"1052","ENSMUSG00000086506"
"1053","ENSMUSG00000031825"
"1054","ENSMUSG00000042834"
"1055","ENSMUSG00000104116"
"1056","ENSMUSG00000088712"
"1057","ENSMUSG00000097626"
"1058","ENSMUSG00000098045"
"1059","ENSMUSG00000026700"
"1060","ENSMUSG00000074896"
"1061","ENSMUSG00000086610"
"1062","ENSMUSG00000059089"
"1063","ENSMUSG00000089081"
"1064","ENSMUSG00000095101"
"1065","ENSMUSG00000031137"
"1066","ENSMUSG00000029359"
"1067","ENSMUSG00000029769"
"1068","ENSMUSG00000072955"
"1069","ENSMUSG00000041878"
"1070","ENSMUSG00000039452"
"1071","ENSMUSG00000047822"
"1072","ENSMUSG00000058246"
"1073","ENSMUSG00000076512"
"1074","ENSMUSG00000099478"
"1075","ENSMUSG00000007888"
"1076","ENSMUSG00000091784"
"1077","ENSMUSG00000040093"
"1078","ENSMUSG00000097675"
"1079","ENSMUSG00000041548"
"1080","ENSMUSG00000009628"
"1081","ENSMUSG00000038065"
"1082","ENSMUSG00000097592"
"1083","ENSMUSG00000085612"
"1084","ENSMUSG00000087496"
"1085","ENSMUSG00000086891"
"1086","ENSMUSG00000038296"
"1087","ENSMUSG00000097888"
"1088","ENSMUSG00000032739"
"1089","ENSMUSG00000063234"
"1090","ENSMUSG00000087698"
"1091","ENSMUSG00000100833"
"1092","ENSMUSG00000046805"
"1093","ENSMUSG00000096597"
"1094","ENSMUSG00000083513"
"1095","ENSMUSG00000031104"
"1096","ENSMUSG00000044393"
"1097","ENSMUSG00000089581"
"1098","ENSMUSG00000042826"
"1099","ENSMUSG00000039110"
"1100","ENSMUSG00000094840"
"1101","ENSMUSG00000104347"
"1102","ENSMUSG00000096959"
"1103","ENSMUSG00000040694"
"1104","ENSMUSG00000024909"
"1105","ENSMUSG00000103634"
"1106","ENSMUSG00000089690"
"1107","ENSMUSG00000031891"
"1108","ENSMUSG00000072769"
"1109","ENSMUSG00000100837"
"1110","ENSMUSG00000021071"
"1111","ENSMUSG00000074622"
"1112","ENSMUSG00000038074"
"1113","ENSMUSG00000102234"
"1114","ENSMUSG00000025380"
"1115","ENSMUSG00000024778"
"1116","ENSMUSG00000028023"
"1117","ENSMUSG00000085105"
"1118","ENSMUSG00000081284"
"1119","ENSMUSG00000007591"
"1120","ENSMUSG00000086331"
"1121","ENSMUSG00000015850"
"1122","ENSMUSG00000022783"
"1123","ENSMUSG00000040554"
"1124","ENSMUSG00000104262"
"1125","ENSMUSG00000098145"
"1126","ENSMUSG00000085531"
"1127","ENSMUSG00000097766"
"1128","ENSMUSG00000085684"
"1129","ENSMUSG00000032372"
"1130","ENSMUSG00000091906"
"1131","ENSMUSG00000000782"
"1132","ENSMUSG00000037169"
"1133","ENSMUSG00000091898"
"1134","ENSMUSG00000021796"
"1135","ENSMUSG00000104061"
"1136","ENSMUSG00000086052"
"1137","ENSMUSG00000031778"
"1138","ENSMUSG00000003227"
"1139","ENSMUSG00000086658"
"1140","ENSMUSG00000064495"
"1141","ENSMUSG00000039646"
"1142","ENSMUSG00000087075"
"1143","ENSMUSG00000030110"
"1144","ENSMUSG00000020044"
"1145","ENSMUSG00000056370"
"1146","ENSMUSG00000086387"
"1147","ENSMUSG00000097680"
"1148","ENSMUSG00000037347"
"1149","ENSMUSG00000079559"
"1150","ENSMUSG00000075410"
"1151","ENSMUSG00000002908"
"1152","ENSMUSG00000100860"
"1153","ENSMUSG00000084862"
"1154","ENSMUSG00000058914"
"1155","ENSMUSG00000021423"
"1156","ENSMUSG00000087501"
"1157","ENSMUSG00000030825"
"1158","ENSMUSG00000103253"
"1159","ENSMUSG00000011256"
"1160","ENSMUSG00000087790"
"1161","ENSMUSG00000081301"
"1162","ENSMUSG00000038045"
"1163","ENSMUSG00000087436"
"1164","ENSMUSG00000095589"
"1165","ENSMUSG00000093559"
"1166","ENSMUSG00000095204"
"1167","ENSMUSG00000018470"
"1168","ENSMUSG00000037922"
"1169","ENSMUSG00000030352"
"1170","ENSMUSG00000084930"
"1171","ENSMUSG00000097967"
"1172","ENSMUSG00000103873"
"1173","ENSMUSG00000025150"
"1174","ENSMUSG00000093147"
"1175","ENSMUSG00000079580"
"1176","ENSMUSG00000098540"
"1177","ENSMUSG00000061972"
"1178","ENSMUSG00000054618"
"1179","ENSMUSG00000084969"
"1180","ENSMUSG00000089663"
"1181","ENSMUSG00000099895"
"1182","ENSMUSG00000055691"
"1183","ENSMUSG00000100234"
"1184","ENSMUSG00000021872"
"1185","ENSMUSG00000047507"
"1186","ENSMUSG00000044034"
"1187","ENSMUSG00000086206"
"1188","ENSMUSG00000014198"
"1189","ENSMUSG00000005883"
"1190","ENSMUSG00000080586"
"1191","ENSMUSG00000076606"
"1192","ENSMUSG00000102319"
"1193","ENSMUSG00000038782"
"1194","ENSMUSG00000103774"
"1195","ENSMUSG00000027956"
"1196","ENSMUSG00000046727"
"1197","ENSMUSG00000104368"
"1198","ENSMUSG00000030077"
"1199","ENSMUSG00000085538"
"1200","ENSMUSG00000085941"
"1201","ENSMUSG00000030048"
"1202","ENSMUSG00000102909"
"1203","ENSMUSG00000086598"
"1204","ENSMUSG00000090248"
"1205","ENSMUSG00000104106"
"1206","ENSMUSG00000065036"
"1207","ENSMUSG00000073940"
"1208","ENSMUSG00000018569"
"1209","ENSMUSG00000076490"
"1210","ENSMUSG00000087327"
"1211","ENSMUSG00000053963"
"1212","ENSMUSG00000050730"
"1213","ENSMUSG00000068130"
"1214","ENSMUSG00000000690"
"1215","ENSMUSG00000028194"
"1216","ENSMUSG00000025221"
"1217","ENSMUSG00000022938"
"1218","ENSMUSG00000099254"
"1219","ENSMUSG00000027994"
"1220","ENSMUSG00000041957"
"1221","ENSMUSG00000032719"
"1222","ENSMUSG00000099760"
"1223","ENSMUSG00000003484"
"1224","ENSMUSG00000100629"
"1225","ENSMUSG00000104002"
"1226","ENSMUSG00000102369"
"1227","ENSMUSG00000090026"
"1228","ENSMUSG00000097750"
"1229","ENSMUSG00000090628"
"1230","ENSMUSG00000052584"
"1231","ENSMUSG00000063804"
"1232","ENSMUSG00000031196"
"1233","ENSMUSG00000035262"
"1234","ENSMUSG00000025375"
"1235","ENSMUSG00000047940"
"1236","ENSMUSG00000052549"
"1237","ENSMUSG00000035314"
"1238","ENSMUSG00000090818"
"1239","ENSMUSG00000051177"
"1240","ENSMUSG00000053062"
"1241","ENSMUSG00000050468"
"1242","ENSMUSG00000047642"
"1243","ENSMUSG00000103251"
"1244","ENSMUSG00000026611"
"1245","ENSMUSG00000050105"
"1246","ENSMUSG00000055003"
"1247","ENSMUSG00000031099"
"1248","ENSMUSG00000055341"
"1249","ENSMUSG00000074824"
"1250","ENSMUSG00000040013"
"1251","ENSMUSG00000050910"
"1252","ENSMUSG00000032591"
"1253","ENSMUSG00000042510"
"1254","ENSMUSG00000021056"
"1255","ENSMUSG00000076823"
"1256","ENSMUSG00000087626"
"1257","ENSMUSG00000031342"
"1258","ENSMUSG00000086935"
"1259","ENSMUSG00000048728"
"1260","ENSMUSG00000084910"
"1261","ENSMUSG00000087066"
"1262","ENSMUSG00000017309"
"1263","ENSMUSG00000005131"
"1264","ENSMUSG00000093758"
"1265","ENSMUSG00000019590"
"1266","ENSMUSG00000067642"
"1267","ENSMUSG00000102205"
"1268","ENSMUSG00000074281"
"1269","ENSMUSG00000053137"
"1270","ENSMUSG00000096377"
"1271","ENSMUSG00000034796"
"1272","ENSMUSG00000009356"
"1273","ENSMUSG00000009731"
"1274","ENSMUSG00000037071"
"1275","ENSMUSG00000097000"
"1276","ENSMUSG00000101942"
"1277","ENSMUSG00000069792"
"1278","ENSMUSG00000083924"
"1279","ENSMUSG00000039891"
"1280","ENSMUSG00000045062"
"1281","ENSMUSG00000088008"
"1282","ENSMUSG00000030737"
"1283","ENSMUSG00000029053"
"1284","ENSMUSG00000035296"
"1285","ENSMUSG00000019124"
"1286","ENSMUSG00000038576"
"1287","ENSMUSG00000036469"
"1288","ENSMUSG00000097666"
"1289","ENSMUSG00000079681"
"1290","ENSMUSG00000076460"
"1291","ENSMUSG00000004698"
"1292","ENSMUSG00000024669"
"1293","ENSMUSG00000042474"
"1294","ENSMUSG00000102786"
"1295","ENSMUSG00000005763"
"1296","ENSMUSG00000043300"
"1297","ENSMUSG00000064906"
"1298","ENSMUSG00000044528"
"1299","ENSMUSG00000054892"
"1300","ENSMUSG00000103546"
"1301","ENSMUSG00000021490"
"1302","ENSMUSG00000072647"
"1303","ENSMUSG00000015890"
"1304","ENSMUSG00000045746"
"1305","ENSMUSG00000064567"
"1306","ENSMUSG00000072972"
"1307","ENSMUSG00000046242"
"1308","ENSMUSG00000024049"
"1309","ENSMUSG00000089155"
"1310","ENSMUSG00000019718"
"1311","ENSMUSG00000086681"
"1312","ENSMUSG00000086805"
"1313","ENSMUSG00000017607"
"1314","ENSMUSG00000000204"
"1315","ENSMUSG00000076483"
"1316","ENSMUSG00000031613"
"1317","ENSMUSG00000035104"
"1318","ENSMUSG00000041845"
"1319","ENSMUSG00000020419"
"1320","ENSMUSG00000076608"
"1321","ENSMUSG00000056508"
"1322","ENSMUSG00000035285"
"1323","ENSMUSG00000031290"
"1324","ENSMUSG00000084846"
"1325","ENSMUSG00000032595"
"1326","ENSMUSG00000044177"
"1327","ENSMUSG00000102939"
"1328","ENSMUSG00000012017"
"1329","ENSMUSG00000085072"
"1330","ENSMUSG00000091119"
"1331","ENSMUSG00000102179"
"1332","ENSMUSG00000041479"
"1333","ENSMUSG00000031780"
"1334","ENSMUSG00000055216"
"1335","ENSMUSG00000049551"
"1336","ENSMUSG00000086933"
"1337","ENSMUSG00000027316"
"1338","ENSMUSG00000054626"
"1339","ENSMUSG00000026315"
"1340","ENSMUSG00000086133"
"1341","ENSMUSG00000064057"
"1342","ENSMUSG00000019817"
"1343","ENSMUSG00000051212"
"1344","ENSMUSG00000099301"
"1345","ENSMUSG00000040231"
"1346","ENSMUSG00000100121"
"1347","ENSMUSG00000032261"
"1348","ENSMUSG00000085572"
"1349","ENSMUSG00000028967"
"1350","ENSMUSG00000036586"
"1351","ENSMUSG00000010021"
"1352","ENSMUSG00000047344"
"1353","ENSMUSG00000085913"
"1354","ENSMUSG00000016624"
"1355","ENSMUSG00000024679"
"1356","ENSMUSG00000000386"
"1357","ENSMUSG00000041797"
"1358","ENSMUSG00000030683"
"1359","ENSMUSG00000078607"
"1360","ENSMUSG00000076487"
"1361","ENSMUSG00000091530"
"1362","ENSMUSG00000096336"
"1363","ENSMUSG00000040836"
"1364","ENSMUSG00000075027"
"1365","ENSMUSG00000040726"
"1366","ENSMUSG00000084834"
"1367","ENSMUSG00000034839"
"1368","ENSMUSG00000074912"
"1369","ENSMUSG00000080574"
"1370","ENSMUSG00000028874"
"1371","ENSMUSG00000054383"
"1372","ENSMUSG00000085995"
"1373","ENSMUSG00000053702"
"1374","ENSMUSG00000008601"
"1375","ENSMUSG00000005540"
"1376","ENSMUSG00000046733"
"1377","ENSMUSG00000021611"
"1378","ENSMUSG00000085089"
"1379","ENSMUSG00000021396"
"1380","ENSMUSG00000075330"
"1381","ENSMUSG00000097677"
"1382","ENSMUSG00000054435"
"1383","ENSMUSG00000100815"
"1384","ENSMUSG00000026536"
"1385","ENSMUSG00000095128"
"1386","ENSMUSG00000102313"
"1387","ENSMUSG00000046768"
"1388","ENSMUSG00000023963"
"1389","ENSMUSG00000041324"
"1390","ENSMUSG00000038418"
"1391","ENSMUSG00000062773"
"1392","ENSMUSG00000066363"
"1393","ENSMUSG00000033722"
"1394","ENSMUSG00000060621"
"1395","ENSMUSG00000097586"
"1396","ENSMUSG00000102332"
"1397","ENSMUSG00000053714"
"1398","ENSMUSG00000031847"
"1399","ENSMUSG00000047854"
"1400","ENSMUSG00000084381"
"1401","ENSMUSG00000100636"
"1402","ENSMUSG00000079657"
"1403","ENSMUSG00000030137"
"1404","ENSMUSG00000054252"
"1405","ENSMUSG00000040329"
"1406","ENSMUSG00000077593"
"1407","ENSMUSG00000077416"
"1408","ENSMUSG00000019027"
"1409","ENSMUSG00000048416"
"1410","ENSMUSG00000092354"
"1411","ENSMUSG00000001739"
"1412","ENSMUSG00000026919"
"1413","ENSMUSG00000102639"
"1414","ENSMUSG00000098790"
"1415","ENSMUSG00000048424"
"1416","ENSMUSG00000085576"
"1417","ENSMUSG00000055494"
"1418","ENSMUSG00000104324"
"1419","ENSMUSG00000085523"
"1420","ENSMUSG00000026418"
"1421","ENSMUSG00000020251"
"1422","ENSMUSG00000022758"
"1423","ENSMUSG00000030711"
"1424","ENSMUSG00000025810"
"1425","ENSMUSG00000029847"
"1426","ENSMUSG00000102919"
"1427","ENSMUSG00000031927"
"1428","ENSMUSG00000044052"
"1429","ENSMUSG00000047841"
"1430","ENSMUSG00000057346"
"1431","ENSMUSG00000084771"
"1432","ENSMUSG00000020175"
"1433","ENSMUSG00000076462"
"1434","ENSMUSG00000099568"
"1435","ENSMUSG00000085286"
"1436","ENSMUSG00000028121"
"1437","ENSMUSG00000015659"
"1438","ENSMUSG00000035878"
"1439","ENSMUSG00000020216"
"1440","ENSMUSG00000104213"
"1441","ENSMUSG00000097767"
"1442","ENSMUSG00000084648"
"1443","ENSMUSG00000026475"
"1444","ENSMUSG00000104060"
"1445","ENSMUSG00000087082"
"1446","ENSMUSG00000103925"
"1447","ENSMUSG00000031883"
"1448","ENSMUSG00000051149"
"1449","ENSMUSG00000097650"
"1450","ENSMUSG00000102941"
"1451","ENSMUSG00000064597"
"1452","ENSMUSG00000025170"
"1453","ENSMUSG00000027296"
"1454","ENSMUSG00000086117"
"1455","ENSMUSG00000025347"
"1456","ENSMUSG00000006445"
"1457","ENSMUSG00000071862"
"1458","ENSMUSG00000090622"
"1459","ENSMUSG00000071552"
"1460","ENSMUSG00000086862"
"1461","ENSMUSG00000094872"
"1462","ENSMUSG00000043873"
"1463","ENSMUSG00000054247"
"1464","ENSMUSG00000019102"
"1465","ENSMUSG00000002769"
"1466","ENSMUSG00000016356"
"1467","ENSMUSG00000056821"
"1468","ENSMUSG00000102717"
"1469","ENSMUSG00000102097"
"1470","ENSMUSG00000024511"
"1471","ENSMUSG00000098926"
"1472","ENSMUSG00000098579"
"1473","ENSMUSG00000103451"
"1474","ENSMUSG00000042678"
"1475","ENSMUSG00000078144"
"1476","ENSMUSG00000088108"
"1477","ENSMUSG00000103706"
"1478","ENSMUSG00000089997"
"1479","ENSMUSG00000025854"
"1480","ENSMUSG00000031877"
"1481","ENSMUSG00000048528"
"1482","ENSMUSG00000096655"
"1483","ENSMUSG00000017491"
"1484","ENSMUSG00000025555"
"1485","ENSMUSG00000062591"
"1486","ENSMUSG00000037868"
"1487","ENSMUSG00000032611"
"1488","ENSMUSG00000063388"
"1489","ENSMUSG00000020135"
"1490","ENSMUSG00000104195"
"1491","ENSMUSG00000036256"
"1492","ENSMUSG00000051906"
"1493","ENSMUSG00000029413"
"1494","ENSMUSG00000029410"
"1495","ENSMUSG00000096732"
"1496","ENSMUSG00000085289"
"1497","ENSMUSG00000101007"
"1498","ENSMUSG00000085716"
"1499","ENSMUSG00000057163"
"1500","ENSMUSG00000102991"
"1501","ENSMUSG00000045009"
"1502","ENSMUSG00000040249"
"1503","ENSMUSG00000028005"
"1504","ENSMUSG00000034450"
"1505","ENSMUSG00000041460"
"1506","ENSMUSG00000053646"
"1507","ENSMUSG00000038987"
"1508","ENSMUSG00000102808"
"1509","ENSMUSG00000050994"
"1510","ENSMUSG00000100768"
"1511","ENSMUSG00000085527"
"1512","ENSMUSG00000036052"
"1513","ENSMUSG00000037196"
"1514","ENSMUSG00000087434"
"1515","ENSMUSG00000102918"
"1516","ENSMUSG00000031831"
"1517","ENSMUSG00000100605"
"1518","ENSMUSG00000021265"
"1519","ENSMUSG00000094025"
"1520","ENSMUSG00000077652"
"1521","ENSMUSG00000055994"
"1522","ENSMUSG00000097071"
"1523","ENSMUSG00000076630"
"1524","ENSMUSG00000022039"
"1525","ENSMUSG00000024397"
"1526","ENSMUSG00000080810"
"1527","ENSMUSG00000040562"
"1528","ENSMUSG00000096052"
"1529","ENSMUSG00000063415"
"1530","ENSMUSG00000027499"
"1531","ENSMUSG00000031824"
"1532","ENSMUSG00000022126"
"1533","ENSMUSG00000030470"
"1534","ENSMUSG00000082361"
"1535","ENSMUSG00000044952"
"1536","ENSMUSG00000039577"
"1537","ENSMUSG00000026582"
"1538","ENSMUSG00000047842"
"1539","ENSMUSG00000089498"
"1540","ENSMUSG00000072919"
"1541","ENSMUSG00000004267"
"1542","ENSMUSG00000041857"
"1543","ENSMUSG00000076940"
"1544","ENSMUSG00000097805"
"1545","ENSMUSG00000096957"
"1546","ENSMUSG00000091985"
"1547","ENSMUSG00000092526"
"1548","ENSMUSG00000037600"
"1549","ENSMUSG00000097882"
"1550","ENSMUSG00000071280"
"1551","ENSMUSG00000029370"
"1552","ENSMUSG00000103002"
"1553","ENSMUSG00000079053"
"1554","ENSMUSG00000049625"
"1555","ENSMUSG00000104231"
"1556","ENSMUSG00000087780"
"1557","ENSMUSG00000016942"
"1558","ENSMUSG00000039981"
"1559","ENSMUSG00000081512"
"1560","ENSMUSG00000103030"
"1561","ENSMUSG00000080396"
"1562","ENSMUSG00000050944"
"1563","ENSMUSG00000027173"
"1564","ENSMUSG00000044317"
"1565","ENSMUSG00000060212"
"1566","ENSMUSG00000038555"
"1567","ENSMUSG00000073008"
"1568","ENSMUSG00000026888"
"1569","ENSMUSG00000038859"
"1570","ENSMUSG00000032387"
"1571","ENSMUSG00000008658"
"1572","ENSMUSG00000009114"
"1573","ENSMUSG00000102051"
"1574","ENSMUSG00000017734"
"1575","ENSMUSG00000017692"
"1576","ENSMUSG00000068601"
"1577","ENSMUSG00000099825"
"1578","ENSMUSG00000097601"
"1579","ENSMUSG00000056735"
"1580","ENSMUSG00000103254"
"1581","ENSMUSG00000037225"
"1582","ENSMUSG00000092713"
"1583","ENSMUSG00000061723"
"1584","ENSMUSG00000096995"
"1585","ENSMUSG00000054135"
"1586","ENSMUSG00000030747"
"1587","ENSMUSG00000066672"
"1588","ENSMUSG00000095127"
"1589","ENSMUSG00000090217"
"1590","ENSMUSG00000077526"
"1591","ENSMUSG00000020695"
"1592","ENSMUSG00000017195"
"1593","ENSMUSG00000022912"
"1594","ENSMUSG00000033278"
"1595","ENSMUSG00000104342"
"1596","ENSMUSG00000030643"
"1597","ENSMUSG00000076376"
"1598","ENSMUSG00000030604"
"1599","ENSMUSG00000103864"
"1600","ENSMUSG00000033427"
"1601","ENSMUSG00000102380"
"1602","ENSMUSG00000091997"
"1603","ENSMUSG00000079652"
"1604","ENSMUSG00000031079"
"1605","ENSMUSG00000103567"
"1606","ENSMUSG00000060176"
"1607","ENSMUSG00000038781"
"1608","ENSMUSG00000022496"
"1609","ENSMUSG00000061186"
"1610","ENSMUSG00000026712"
"1611","ENSMUSG00000079484"
"1612","ENSMUSG00000022996"
"1613","ENSMUSG00000091087"
"1614","ENSMUSG00000100548"
"1615","ENSMUSG00000043789"
"1616","ENSMUSG00000095061"
"1617","ENSMUSG00000027071"
"1618","ENSMUSG00000029088"
"1619","ENSMUSG00000092353"
"1620","ENSMUSG00000034457"
"1621","ENSMUSG00000078519"
"1622","ENSMUSG00000065475"
"1623","ENSMUSG00000102158"
"1624","ENSMUSG00000102782"
"1625","ENSMUSG00000103928"
"1626","ENSMUSG00000103360"
"1627","ENSMUSG00000029369"
"1628","ENSMUSG00000032066"
"1629","ENSMUSG00000087356"
"1630","ENSMUSG00000067215"
"1631","ENSMUSG00000104515"
"1632","ENSMUSG00000097090"
"1633","ENSMUSG00000040808"
"1634","ENSMUSG00000032968"
"1635","ENSMUSG00000089151"
"1636","ENSMUSG00000072573"
"1637","ENSMUSG00000098489"
"1638","ENSMUSG00000097527"
"1639","ENSMUSG00000019828"
"1640","ENSMUSG00000039330"
"1641","ENSMUSG00000096982"
"1642","ENSMUSG00000085860"
"1643","ENSMUSG00000041633"
"1644","ENSMUSG00000099923"
"1645","ENSMUSG00000031442"
"1646","ENSMUSG00000044814"
"1647","ENSMUSG00000024548"
"1648","ENSMUSG00000005413"
"1649","ENSMUSG00000047733"
"1650","ENSMUSG00000022622"
"1651","ENSMUSG00000004961"
"1652","ENSMUSG00000101903"
"1653","ENSMUSG00000092402"
"1654","ENSMUSG00000027399"
"1655","ENSMUSG00000104379"
"1656","ENSMUSG00000086264"
"1657","ENSMUSG00000018168"
"1658","ENSMUSG00000090564"
"1659","ENSMUSG00000098449"
"1660","ENSMUSG00000090778"
"1661","ENSMUSG00000097515"
"1662","ENSMUSG00000079033"
"1663","ENSMUSG00000071636"
"1664","ENSMUSG00000086719"
"1665","ENSMUSG00000029084"
"1666","ENSMUSG00000076474"
"1667","ENSMUSG00000089956"
"1668","ENSMUSG00000098184"
"1669","ENSMUSG00000081574"
"1670","ENSMUSG00000032246"
"1671","ENSMUSG00000035004"
"1672","ENSMUSG00000077545"
"1673","ENSMUSG00000022534"
"1674","ENSMUSG00000038264"
"1675","ENSMUSG00000104344"
"1676","ENSMUSG00000003309"
"1677","ENSMUSG00000023473"
"1678","ENSMUSG00000024164"
"1679","ENSMUSG00000079546"
"1680","ENSMUSG00000056418"
"1681","ENSMUSG00000047117"
"1682","ENSMUSG00000045664"
"1683","ENSMUSG00000031444"
"1684","ENSMUSG00000048856"
"1685","ENSMUSG00000086671"
"1686","ENSMUSG00000020303"
"1687","ENSMUSG00000090936"
"1688","ENSMUSG00000053318"
"1689","ENSMUSG00000104493"
"1690","ENSMUSG00000102899"
"1691","ENSMUSG00000030208"
"1692","ENSMUSG00000073843"
"1693","ENSMUSG00000103403"
"1694","ENSMUSG00000062170"
"1695","ENSMUSG00000090005"
"1696","ENSMUSG00000038119"
"1697","ENSMUSG00000102344"
"1698","ENSMUSG00000095054"
"1699","ENSMUSG00000086929"
"1700","ENSMUSG00000083995"
"1701","ENSMUSG00000021760"
"1702","ENSMUSG00000029102"
"1703","ENSMUSG00000038244"
