"","x"
"200","ENSMUSG00000014776"
"201","ENSMUSG00000073591"
"202","ENSMUSG00000070868"
"203","ENSMUSG00000103382"
"204","ENSMUSG00000102544"
"205","ENSMUSG00000093579"
"206","ENSMUSG00000032528"
"207","ENSMUSG00000031449"
"208","ENSMUSG00000033508"
"209","ENSMUSG00000102673"
"210","ENSMUSG00000000320"
"211","ENSMUSG00000020774"
"212","ENSMUSG00000076731"
"213","ENSMUSG00000028415"
"214","ENSMUSG00000054675"
"215","ENSMUSG00000029054"
"216","ENSMUSG00000099378"
"217","ENSMUSG00000044022"
"218","ENSMUSG00000020884"
"219","ENSMUSG00000086774"
"220","ENSMUSG00000028150"
"221","ENSMUSG00000057606"
"222","ENSMUSG00000030701"
"223","ENSMUSG00000074591"
"224","ENSMUSG00000037437"
"225","ENSMUSG00000051439"
"226","ENSMUSG00000081488"
"227","ENSMUSG00000013419"
"228","ENSMUSG00000040605"
"229","ENSMUSG00000036062"
"230","ENSMUSG00000078982"
"231","ENSMUSG00000028979"
"232","ENSMUSG00000025650"
"233","ENSMUSG00000032854"
"234","ENSMUSG00000041809"
"235","ENSMUSG00000029669"
"236","ENSMUSG00000057880"
"237","ENSMUSG00000074417"
"238","ENSMUSG00000103168"
"239","ENSMUSG00000103358"
"240","ENSMUSG00000025804"
"241","ENSMUSG00000063564"
"242","ENSMUSG00000025020"
"243","ENSMUSG00000018595"
"244","ENSMUSG00000032118"
"245","ENSMUSG00000089296"
"246","ENSMUSG00000082658"
"247","ENSMUSG00000017002"
"248","ENSMUSG00000085784"
"249","ENSMUSG00000009246"
"250","ENSMUSG00000026943"
"251","ENSMUSG00000027398"
"252","ENSMUSG00000047108"
"253","ENSMUSG00000079168"
"254","ENSMUSG00000090709"
"255","ENSMUSG00000091071"
"256","ENSMUSG00000053675"
"257","ENSMUSG00000044296"
"258","ENSMUSG00000047963"
"259","ENSMUSG00000026073"
"260","ENSMUSG00000104204"
"261","ENSMUSG00000002032"
"262","ENSMUSG00000086939"
"263","ENSMUSG00000031661"
"264","ENSMUSG00000021259"
"265","ENSMUSG00000097292"
"266","ENSMUSG00000054203"
"267","ENSMUSG00000038167"
"268","ENSMUSG00000024793"
"269","ENSMUSG00000030159"
"270","ENSMUSG00000097768"
"271","ENSMUSG00000029372"
"272","ENSMUSG00000039706"
